hotel,arrival_date_year,arrival_date_month,arrival_date_day_of_month,adults,children,babies,country,,,,,,,,,
Resort Hotel,2015,July,2,2,0,0,ARG,,,,,,,,,
Resort Hotel,2015,July,2,2,2,0,ESP,,,,,,,,,
Resort Hotel,2015,July,2,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,2,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,2,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,2,2,0,0,USA,,,,,,,,,
Resort Hotel,2015,July,2,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,2,2,0,0,IRL,,,,,,,,,
Resort Hotel,2015,July,2,2,0,0,ESP,,,,,,,,,
Resort Hotel,2015,July,2,2,0,0,IRL,,,,,,,,,
Resort Hotel,2015,July,2,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,3,2,2,0,USA,,,,,,,,,
Resort Hotel,2015,July,3,2,0,0,ESP,,,,,,,,,
Resort Hotel,2015,July,3,2,0,0,POL,,,,,,,,,
Resort Hotel,2015,July,3,3,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,3,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,3,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,3,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,3,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,3,2,0,0,ESP,,,,,,,,,
Resort Hotel,2015,July,3,3,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,3,2,0,0,ESP,,,,,,,,,
Resort Hotel,2015,July,3,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,3,1,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,3,2,0,0,DEU,,,,,,,,,
Resort Hotel,2015,July,3,3,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,3,2,0,0,FRA,,,,,,,,,
Resort Hotel,2015,July,3,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,3,2,0,0,GBR,,,,,,,,,
Resort Hotel,2015,July,3,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,3,2,0,0,GBR,,,,,,,,,
Resort Hotel,2015,July,3,2,0,0,GBR,,,,,,,,,
Resort Hotel,2015,July,3,2,0,0,GBR,,,,,,,,,
Resort Hotel,2015,July,3,2,1,0,PRT,,,,,,,,,
Resort Hotel,2015,July,3,2,0,0,GBR,,,,,,,,,
Resort Hotel,2015,July,3,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,3,2,0,0,ESP,,,,,,,,,
Resort Hotel,2015,July,3,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,3,2,0,0,USA,,,,,,,,,
Resort Hotel,2015,July,3,2,0,0,BEL,,,,,,,,,
Resort Hotel,2015,July,3,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,3,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,3,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,3,3,0,0,ESP,,,,,,,,,
Resort Hotel,2015,July,3,2,1,0,PRT,,,,,,,,,
Resort Hotel,2015,July,3,2,0,0,DEU,,,,,,,,,
Resort Hotel,2015,July,4,2,0,0,ESP,,,,,,,,,
Resort Hotel,2015,July,4,2,0,0,FRA,,,,,,,,,
Resort Hotel,2015,July,4,1,2,0,FRA,,,,,,,,,
Resort Hotel,2015,July,4,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,4,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,4,2,2,0,PRT,,,,,,,,,
Resort Hotel,2015,July,4,3,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,4,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,4,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,4,2,0,1,PRT,,,,,,,,,
Resort Hotel,2015,July,4,2,0,0,CHE,,,,,,,,,
Resort Hotel,2015,July,4,2,0,1,PRT,,,,,,,,,
Resort Hotel,2015,July,4,2,0,0,GBR,,,,,,,,,
Resort Hotel,2015,July,4,3,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,4,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,4,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,4,2,0,0,GBR,,,,,,,,,
Resort Hotel,2015,July,4,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,4,2,1,0,PRT,,,,,,,,,
Resort Hotel,2015,July,4,2,2,0,PRT,,,,,,,,,
Resort Hotel,2015,July,4,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,4,1,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,4,1,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,4,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,4,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,4,4,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,4,2,0,0,ESP,,,,,,,,,
Resort Hotel,2015,July,4,2,0,0,FRA,,,,,,,,,
Resort Hotel,2015,July,4,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,4,2,0,0,FRA,,,,,,,,,
Resort Hotel,2015,July,4,2,0,0,FRA,,,,,,,,,
Resort Hotel,2015,July,5,2,0,0,ESP,,,,,,,,,
Resort Hotel,2015,July,5,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,5,2,0,0,ESP,,,,,,,,,
Resort Hotel,2015,July,5,1,0,0,DEU,,,,,,,,,
Resort Hotel,2015,July,5,1,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,5,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,5,1,0,0,DEU,,,,,,,,,
Resort Hotel,2015,July,5,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,5,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,5,3,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,5,2,0,0,FRA,,,,,,,,,
Resort Hotel,2015,July,5,2,0,0,ESP,,,,,,,,,
Resort Hotel,2015,July,5,2,1,0,CN,,,,,,,,,
Resort Hotel,2015,July,5,2,0,0,ESP,,,,,,,,,
Resort Hotel,2015,July,5,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,5,2,0,0,ESP,,,,,,,,,
Resort Hotel,2015,July,5,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,5,2,2,0,PRT,,,,,,,,,
Resort Hotel,2015,July,5,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,5,2,2,0,PRT,,,,,,,,,
Resort Hotel,2015,July,5,2,0,0,IRL,,,,,,,,,
Resort Hotel,2015,July,5,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,5,2,0,0,ESP,,,,,,,,,
Resort Hotel,2015,July,5,2,2,0,CHE,,,,,,,,,
Resort Hotel,2015,July,5,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,5,3,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,5,2,0,0,GBR,,,,,,,,,
Resort Hotel,2015,July,5,1,0,0,GBR,,,,,,,,,
Resort Hotel,2015,July,5,2,0,0,GBR,,,,,,,,,
Resort Hotel,2015,July,6,2,2,0,PRT,,,,,,,,,
Resort Hotel,2015,July,6,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,6,2,0,0,USA,,,,,,,,,
Resort Hotel,2015,July,6,3,0,0,CN,,,,,,,,,
Resort Hotel,2015,July,6,2,2,0,CHE,,,,,,,,,
Resort Hotel,2015,July,6,2,0,1,PRT,,,,,,,,,
Resort Hotel,2015,July,6,3,0,0,USA,,,,,,,,,
Resort Hotel,2015,July,6,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,6,1,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,6,2,1,0,PRT,,,,,,,,,
Resort Hotel,2015,July,6,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,6,2,0,0,USA,,,,,,,,,
Resort Hotel,2015,July,6,2,0,0,GRC,,,,,,,,,
Resort Hotel,2015,July,6,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,6,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,6,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,6,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,6,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,6,2,0,0,ESP,,,,,,,,,
Resort Hotel,2015,July,6,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,6,2,2,0,PRT,,,,,,,,,
Resort Hotel,2015,July,6,1,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,6,2,0,0,GBR,,,,,,,,,
Resort Hotel,2015,July,6,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,6,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,6,2,0,0,GBR,,,,,,,,,
Resort Hotel,2015,July,6,2,0,0,GBR,,,,,,,,,
Resort Hotel,2015,July,6,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,6,2,0,0,GBR,,,,,,,,,
Resort Hotel,2015,July,6,1,0,0,FRA,,,,,,,,,
Resort Hotel,2015,July,6,2,0,0,ITA,,,,,,,,,
Resort Hotel,2015,July,6,2,0,0,GBR,,,,,,,,,
Resort Hotel,2015,July,6,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,7,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,7,2,0,0,ESP,,,,,,,,,
Resort Hotel,2015,July,7,2,1,0,PRT,,,,,,,,,
Resort Hotel,2015,July,7,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,7,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,7,1,0,0,GBR,,,,,,,,,
Resort Hotel,2015,July,7,3,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,7,1,0,0,GBR,,,,,,,,,
Resort Hotel,2015,July,7,3,2,0,ESP,,,,,,,,,
Resort Hotel,2015,July,7,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,7,3,0,0,USA,,,,,,,,,
Resort Hotel,2015,July,7,2,0,0,NLD,,,,,,,,,
Resort Hotel,2015,July,7,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,7,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,7,2,0,0,IRL,,,,,,,,,
Resort Hotel,2015,July,7,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,7,2,0,0,IRL,,,,,,,,,
Resort Hotel,2015,July,8,2,0,0,GBR,,,,,,,,,
Resort Hotel,2015,July,8,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,8,2,0,0,ESP,,,,,,,,,
Resort Hotel,2015,July,8,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,8,2,0,0,ESP,,,,,,,,,
Resort Hotel,2015,July,8,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,8,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,8,1,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,8,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,8,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,8,2,0,0,CHE,,,,,,,,,
Resort Hotel,2015,July,8,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,8,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,8,2,1,0,PRT,,,,,,,,,
Resort Hotel,2015,July,8,2,0,0,GBR,,,,,,,,,
Resort Hotel,2015,July,8,2,0,0,GBR,,,,,,,,,
Resort Hotel,2015,July,8,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,8,3,0,0,IRL,,,,,,,,,
Resort Hotel,2015,July,8,3,0,0,DNK,,,,,,,,,
Resort Hotel,2015,July,8,2,0,0,DNK,,,,,,,,,
Resort Hotel,2015,July,9,2,2,0,PRT,,,,,,,,,
Resort Hotel,2015,July,9,3,0,0,ARG,,,,,,,,,
Resort Hotel,2015,July,9,2,2,0,PRT,,,,,,,,,
Resort Hotel,2015,July,9,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,9,2,2,0,PRT,,,,,,,,,
Resort Hotel,2015,July,9,2,2,0,PRT,,,,,,,,,
Resort Hotel,2015,July,9,2,0,1,PRT,,,,,,,,,
Resort Hotel,2015,July,9,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,9,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,9,1,0,0,RUS,,,,,,,,,
Resort Hotel,2015,July,9,2,0,0,SWE,,,,,,,,,
Resort Hotel,2015,July,9,2,0,0,POL,,,,,,,,,
Resort Hotel,2015,July,9,2,0,0,FRA,,,,,,,,,
Resort Hotel,2015,July,9,2,0,0,GBR,,,,,,,,,
Resort Hotel,2015,July,9,2,0,0,GBR,,,,,,,,,
Resort Hotel,2015,July,9,2,0,0,GBR,,,,,,,,,
Resort Hotel,2015,July,9,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,9,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,10,2,0,0,USA,,,,,,,,,
Resort Hotel,2015,July,10,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,10,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,10,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,10,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,10,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,10,2,1,0,PRT,,,,,,,,,
Resort Hotel,2015,July,10,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,10,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,10,2,0,0,GBR,,,,,,,,,
Resort Hotel,2015,July,10,2,0,0,AUS,,,,,,,,,
Resort Hotel,2015,July,10,2,0,0,GBR,,,,,,,,,
Resort Hotel,2015,July,10,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,10,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,10,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,10,2,0,0,POL,,,,,,,,,
Resort Hotel,2015,July,10,2,0,2,PRT,,,,,,,,,
Resort Hotel,2015,July,10,2,2,0,EST,,,,,,,,,
Resort Hotel,2015,July,10,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,10,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,10,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,10,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,10,1,0,0,RUS,,,,,,,,,
Resort Hotel,2015,July,10,2,1,0,GBR,,,,,,,,,
Resort Hotel,2015,July,10,2,1,1,PRT,,,,,,,,,
Resort Hotel,2015,July,10,3,1,0,PRT,,,,,,,,,
Resort Hotel,2015,July,10,2,0,0,IRL,,,,,,,,,
Resort Hotel,2015,July,10,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,10,2,0,1,GBR,,,,,,,,,
Resort Hotel,2015,July,10,2,0,0,DNK,,,,,,,,,
Resort Hotel,2015,July,10,2,1,0,GBR,,,,,,,,,
Resort Hotel,2015,July,10,2,0,0,GBR,,,,,,,,,
Resort Hotel,2015,July,11,2,1,0,PRT,,,,,,,,,
Resort Hotel,2015,July,11,2,0,0,ESP,,,,,,,,,
Resort Hotel,2015,July,11,2,0,1,PRT,,,,,,,,,
Resort Hotel,2015,July,11,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,11,3,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,11,2,0,0,ESP,,,,,,,,,
Resort Hotel,2015,July,11,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,11,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,11,2,0,0,GBR,,,,,,,,,
Resort Hotel,2015,July,11,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,11,2,0,0,CZE,,,,,,,,,
Resort Hotel,2015,July,11,1,0,0,GBR,,,,,,,,,
Resort Hotel,2015,July,11,2,0,0,DEU,,,,,,,,,
Resort Hotel,2015,July,11,2,0,0,ESP,,,,,,,,,
Resort Hotel,2015,July,11,2,0,0,ESP,,,,,,,,,
Resort Hotel,2015,July,11,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,11,2,0,0,ESP,,,,,,,,,
Resort Hotel,2015,July,11,2,0,0,ROU,,,,,,,,,
Resort Hotel,2015,July,11,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,11,2,0,0,ESP,,,,,,,,,
Resort Hotel,2015,July,11,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,11,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,11,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,11,2,2,0,PRT,,,,,,,,,
Resort Hotel,2015,July,11,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,11,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,11,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,12,2,2,0,CN,,,,,,,,,
Resort Hotel,2015,July,12,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,12,2,1,0,PRT,,,,,,,,,
Resort Hotel,2015,July,12,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,12,2,0,0,GBR,,,,,,,,,
Resort Hotel,2015,July,12,2,0,0,BRA,,,,,,,,,
Resort Hotel,2015,July,12,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,12,2,0,1,ESP,,,,,,,,,
Resort Hotel,2015,July,12,3,1,0,PRT,,,,,,,,,
Resort Hotel,2015,July,12,2,0,0,GBR,,,,,,,,,
Resort Hotel,2015,July,12,2,0,1,PRT,,,,,,,,,
Resort Hotel,2015,July,12,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,12,2,0,0,GBR,,,,,,,,,
Resort Hotel,2015,July,12,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,12,2,0,0,GBR,,,,,,,,,
Resort Hotel,2015,July,12,2,0,0,ESP,,,,,,,,,
Resort Hotel,2015,July,12,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,12,2,0,0,FRA,,,,,,,,,
Resort Hotel,2015,July,12,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,12,2,0,0,GBR,,,,,,,,,
Resort Hotel,2015,July,12,2,0,0,GBR,,,,,,,,,
Resort Hotel,2015,July,12,2,10,0,PRT,,,,,,,,,
Resort Hotel,2015,July,12,2,0,0,GBR,,,,,,,,,
Resort Hotel,2015,July,12,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,12,2,2,0,BEL,,,,,,,,,
Resort Hotel,2015,July,12,2,0,0,ESP,,,,,,,,,
Resort Hotel,2015,July,12,2,0,0,FRA,,,,,,,,,
Resort Hotel,2015,July,12,2,0,0,ESP,,,,,,,,,
Resort Hotel,2015,July,12,2,0,0,BEL,,,,,,,,,
Resort Hotel,2015,July,12,2,0,0,ITA,,,,,,,,,
Resort Hotel,2015,July,12,2,0,0,ESP,,,,,,,,,
Resort Hotel,2015,July,12,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,12,2,0,0,FRA,,,,,,,,,
Resort Hotel,2015,July,12,2,0,1,FIN,,,,,,,,,
Resort Hotel,2015,July,12,2,2,0,CN,,,,,,,,,
Resort Hotel,2015,July,12,2,0,0,ESP,,,,,,,,,
Resort Hotel,2015,July,12,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,12,2,2,0,IRL,,,,,,,,,
Resort Hotel,2015,July,12,2,0,0,ESP,,,,,,,,,
Resort Hotel,2015,July,13,2,0,0,ESP,,,,,,,,,
Resort Hotel,2015,July,13,2,0,1,PRT,,,,,,,,,
Resort Hotel,2015,July,13,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,13,2,0,0,GBR,,,,,,,,,
Resort Hotel,2015,July,13,2,0,0,ESP,,,,,,,,,
Resort Hotel,2015,July,13,2,0,0,ESP,,,,,,,,,
Resort Hotel,2015,July,13,2,0,0,AUS,,,,,,,,,
Resort Hotel,2015,July,13,2,0,0,ESP,,,,,,,,,
Resort Hotel,2015,July,13,4,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,13,2,0,0,ESP,,,,,,,,,
Resort Hotel,2015,July,13,2,0,0,ESP,,,,,,,,,
Resort Hotel,2015,July,13,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,13,2,0,0,USA,,,,,,,,,
Resort Hotel,2015,July,13,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,13,2,0,0,ESP,,,,,,,,,
Resort Hotel,2015,July,13,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,13,2,0,0,ESP,,,,,,,,,
Resort Hotel,2015,July,13,1,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,13,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,13,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,13,2,0,0,ESP,,,,,,,,,
Resort Hotel,2015,July,13,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,13,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,13,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,13,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,13,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,13,2,0,0,ESP,,,,,,,,,
Resort Hotel,2015,July,13,3,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,13,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,13,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,13,1,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,13,2,0,0,FRA,,,,,,,,,
Resort Hotel,2015,July,13,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,13,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,13,2,1,0,ESP,,,,,,,,,
Resort Hotel,2015,July,13,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,13,2,0,0,ROU,,,,,,,,,
Resort Hotel,2015,July,13,2,0,0,ESP,,,,,,,,,
Resort Hotel,2015,July,13,2,0,0,FIN,,,,,,,,,
Resort Hotel,2015,July,13,2,0,0,GBR,,,,,,,,,
Resort Hotel,2015,July,14,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,14,1,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,14,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,14,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,14,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,14,2,0,0,ESP,,,,,,,,,
Resort Hotel,2015,July,14,2,0,0,POL,,,,,,,,,
Resort Hotel,2015,July,14,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,14,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,14,2,1,0,PRT,,,,,,,,,
Resort Hotel,2015,July,14,2,2,0,PRT,,,,,,,,,
Resort Hotel,2015,July,14,1,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,14,2,0,0,ESP,,,,,,,,,
Resort Hotel,2015,July,14,2,0,0,ESP,,,,,,,,,
Resort Hotel,2015,July,14,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,14,2,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,14,2,0,0,IRL,,,,,,,,,
Resort Hotel,2015,July,14,2,0,0,IRL,,,,,,,,,
Resort Hotel,2015,July,14,2,0,0,SWE,,,,,,,,,
Resort Hotel,2015,July,14,2,0,0,SWE,,,,,,,,,
Resort Hotel,2015,July,14,3,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,14,1,0,0,PRT,,,,,,,,,
Resort Hotel,2015,July,15,2,0,0,PRT,,,,,,,,,
